energy[eV]	signal
37.74	0.0
37.98	0.0
38.21	0.0
38.44	0.0
38.67	0.0
38.90	0.0
39.13	0.0
39.36	0.0
39.59	0.0
39.82	0.0
40.06	0.0
40.29	0.0
40.52	0.0
40.75	0.0
40.98	0.0
41.21	0.0
41.44	0.0
41.67	0.0
41.90	0.0
42.13	0.0
42.37	0.0
42.60	0.0
42.83	0.0
43.06	0.0
43.29	0.0
43.52	0.0
43.75	0.0
43.98	0.0
44.21	0.0
44.45	0.0
44.68	0.0
44.91	0.0
45.14	0.0
45.37	1.0
45.60	2.0
45.83	32.0
46.06	446.0
46.29	3921.0
46.52	24633.0
46.76	103896.0
46.99	282742.8
47.22	515611.8
47.45	657660.0
47.68	619230.0
47.91	420717.0
48.14	228855.0
48.37	101622.0
48.60	38158.0
48.84	12095.0
49.07	3928.0
49.30	1568.0
49.53	961.0
49.76	769.0
49.99	639.0
50.22	554.0
50.45	492.0
50.68	485.0
50.91	418.0
51.15	374.0
51.38	398.0
51.61	304.0
51.84	301.0
52.07	287.0
52.30	248.0
52.53	240.0
52.76	223.0
52.99	190.0
53.23	206.0
53.46	141.0
53.69	141.0
53.92	128.0
54.15	127.0
54.38	125.0
54.61	108.0
54.84	107.0
55.07	97.0
55.30	88.0
55.54	92.0
55.77	66.0
56.00	73.0
56.23	54.0
56.46	80.0
56.69	64.0
56.92	62.0
57.15	54.0
57.38	60.0
57.62	65.0
57.85	49.0
58.08	43.0
58.31	49.0
58.54	38.0
58.77	50.0
59.00	44.0
59.23	42.0
59.46	35.0
59.70	38.0
59.93	36.0
60.16	39.0
60.39	43.0
60.62	26.0
60.85	35.0
61.08	26.0
61.31	25.0
61.54	31.0
61.77	32.0
62.01	26.0
62.24	27.0
62.47	29.0
62.70	27.0
62.93	28.0
63.16	23.0
63.39	20.0
63.62	28.0
63.85	20.0
64.09	14.0
64.32	23.0
64.55	23.0
64.78	26.0
65.01	28.0
65.24	18.0
65.47	30.0
65.70	22.0
65.93	24.0
66.16	23.0
66.40	35.0
66.63	29.0
66.86	28.0
67.09	37.0
67.32	33.0
67.55	38.0
67.78	56.0
68.01	46.0
68.24	55.0
68.48	66.0
68.71	56.0
68.94	57.0
69.17	68.0
69.40	80.0
69.63	64.0
69.86	58.0
70.09	80.0
70.32	91.0
70.55	76.0
70.79	100.0
71.02	85.0
71.25	84.0
71.48	74.0
71.71	83.0
71.94	78.0
72.17	95.0
72.40	65.0
72.63	72.0
72.87	72.0
73.10	86.0
73.33	73.0
73.56	87.0
73.79	68.0
74.02	69.0
74.25	63.0
74.48	58.0
74.71	63.0
74.94	54.0
75.18	53.0
75.41	55.0
75.64	44.0
75.87	43.0
76.10	38.0
76.33	36.0
76.56	31.0
76.79	30.0
77.02	25.0
77.26	18.0
77.49	17.0
77.72	18.0
77.95	21.0
78.18	16.0
78.41	13.0
78.64	8.0
78.87	10.0
79.10	11.0
79.33	6.0
79.57	4.0
79.80	3.0
80.03	2.0
80.26	3.0
80.49	4.0
80.72	3.0
80.95	1.0
81.18	1.0
81.41	1.0
81.65	1.0
81.88	1.0
82.11	1.0
82.34	2.0
82.57	2.0
82.80	1.0
83.03	0.0
83.26	0.0
83.49	0.0
83.72	1.0
83.96	0.0
84.19	0.0
84.42	0.0
84.65	0.0
84.88	0.0
85.11	0.0
85.34	1.0
85.57	0.0
85.80	0.0
86.04	0.0
86.27	0.0
86.50	0.0
86.73	0.0
86.96	0.0
87.19	0.0
87.42	0.0
87.65	1.0
87.88	0.0
88.11	0.0
88.35	0.0
88.58	0.0
88.81	0.0
89.04	0.0
89.27	0.0
89.50	0.0
89.73	0.0
89.96	0.0
90.19	0.0
90.43	0.0
90.66	0.0
90.89	0.0
91.12	0.0
91.35	0.0
91.58	0.0
91.81	0.0
92.04	1.0
92.27	0.0
92.50	0.0
92.74	0.0
92.97	0.0
93.20	0.0
93.43	0.0
93.66	0.0
93.89	0.0
94.12	0.0
94.35	0.0
94.58	0.0
94.82	0.0
95.05	0.0
95.28	0.0
95.51	0.0
95.74	0.0
95.97	0.0
96.20	0.0
96.43	0.0
96.66	3.0
